Cd
1.10E-01
1.12E-01
1.16E-01
1.22E-01
1.37E-01
1.58E-01
1.99E-01
2.45E-01
3.01E-01
3.80E-01
4.44E-01
5.36E-01
5.81E-01
6.55E-01
6.50E-01
