7.326424735948390277e-01,3.842482434526309915e-02,3.972495431835326718e-02
7.326424735948390277e-01,3.842482434526309915e-02,3.972495431835326718e-02
7.326424735948390277e-01,3.842482434526309915e-02,3.972495431835326718e-02
7.633941637865403473e-01,4.000000000000000083e-02,4.985686908483732971e-02
7.633941637865403473e-01,4.000000000000000083e-02,4.985686908483732971e-02
7.724763061754150728e-01,4.000000000000000083e-02,4.988162308596993944e-02
7.724763061754150728e-01,4.000000000000000083e-02,4.988162308596993944e-02
7.984362139447993556e-01,3.888763973521557060e-02,5.510670183916723669e-02
7.934963033582950187e-01,3.910012910172045580e-02,5.760216580598828684e-02
7.956003017603704430e-01,3.913235507785053913e-02,5.411076375810609101e-02
7.980183988581615040e-01,3.904050586639969123e-02,5.576416240335848457e-02
7.952090778734445253e-01,4.000000000000000083e-02,5.809822364034191583e-02
7.980183988581615040e-01,3.904050586639969123e-02,5.576416240335848457e-02
7.931872600129409312e-01,3.927808630363267134e-02,5.910376433980138455e-02
7.931872600129409312e-01,3.927808630363267134e-02,5.910376433980138455e-02
7.992301461256990924e-01,4.000000000000000083e-02,5.732720071442564541e-02
7.979927600402267895e-01,3.967422516762816181e-02,6.026805733442313490e-02
7.979036145573390471e-01,3.985356045787034202e-02,5.903914618128306563e-02
7.932484148769038956e-01,3.910901480062158042e-02,6.046440838113842364e-02
7.974796922129786525e-01,4.000000000000000083e-02,3.692880972041566456e-02
