Cl
-4.53E-04
9.65E-02
1.88E-01
2.52E-01
3.07E-01
3.75E-01
4.84E-01
5.60E-01
6.43E-01
8.12E-01
8.47E-01
1.01E+00
9.26E-01
9.91E-01
8.87E-01
