Cd
1.16E-01
1.14E-01
1.17E-01
1.22E-01
1.36E-01
1.57E-01
2.01E-01
2.25E-01
3.15E-01
3.95E-01
4.71E-01
5.49E-01
6.41E-01
6.99E-01
6.06E-01
