Cl
-9.82E-02
3.07E-02
1.48E-01
2.52E-01
3.18E-01
3.92E-01
5.07E-01
4.76E-01
6.85E-01
9.08E-01
1.00E+00
1.04E+00
1.21E+00
1.09E+00
8.18E-01
