Cl
-9.48E-02
3.47E-02
1.52E-01
2.57E-01
3.20E-01
3.94E-01
5.09E-01
5.57E-01
6.78E-01
8.80E-01
9.96E-01
9.74E-01
8.71E-01
9.67E-01
1.05E+00
